municipality,season,year_start,year_end,display_year,weeks_present,expected_weeks,completeness,week_range,sequence_id,year,match_key_start,match_key_end,crop,original_year,max_wind_kts,min_pres_mb,duration_hrs,risk_score,match_key,year_for_sort
Ligao,Dry,2015,2016,2015-2016,22,25,88.0%,1-52,Ligao_Dry_2015-2016,0,Ligao_2015_Dry,Ligao_2016_Dry,Rice,2016,110,924,0,55.0,,2016
Ligao,Wet,0,0,,23,27,85.2%,18-44,Ligao_Wet_2016,2016,,,Rice,2016,110,924,0,55.0,Ligao_2016_Wet,2016
Ligao,Dry,2015,2016,2015-2016,22,25,88.0%,1-52,Ligao_Dry_2015-2016,0,Ligao_2015_Dry,Ligao_2016_Dry,Corn,2016,110,924,0,55.0,,2016
Ligao,Wet,0,0,,23,27,85.2%,18-44,Ligao_Wet_2016,2016,,,Corn,2016,110,924,0,55.0,Ligao_2016_Wet,2016
Malinao,Dry,2015,2016,2015-2016,22,25,88.0%,1-52,Malinao_Dry_2015-2016,0,Malinao_2015_Dry,Malinao_2016_Dry,Rice,2016,120,924,3,66.0,,2016
Malinao,Wet,0,0,,23,27,85.2%,18-44,Malinao_Wet_2016,2016,,,Rice,2016,120,924,3,66.0,Malinao_2016_Wet,2016
Malinao,Dry,2015,2016,2015-2016,22,25,88.0%,1-52,Malinao_Dry_2015-2016,0,Malinao_2015_Dry,Malinao_2016_Dry,Corn,2016,120,924,3,66.0,,2016
Malinao,Wet,0,0,,23,27,85.2%,18-44,Malinao_Wet_2016,2016,,,Corn,2016,120,924,3,66.0,Malinao_2016_Wet,2016
Oas,Wet,0,0,,23,27,85.2%,18-44,Oas_Wet_2016,2016,,,Rice,2016,110,924,0,55.0,Oas_2016_Wet,2016
Oas,Dry,2015,2016,2015-2016,22,25,88.0%,1-52,Oas_Dry_2015-2016,0,Oas_2015_Dry,Oas_2016_Dry,Rice,2016,110,924,0,55.0,,2016
Oas,Wet,0,0,,23,27,85.2%,18-44,Oas_Wet_2016,2016,,,Corn,2016,110,924,0,55.0,Oas_2016_Wet,2016
Oas,Dry,2015,2016,2015-2016,22,25,88.0%,1-52,Oas_Dry_2015-2016,0,Oas_2015_Dry,Oas_2016_Dry,Corn,2016,110,924,0,55.0,,2016
Pioduran,Wet,0,0,,23,27,85.2%,18-44,Pio Duran_Wet_2016,2016,,,Rice,2016,0,1013,0,0.0,Pioduran_2016_Wet,2016
Pioduran,Dry,2015,2016,2015-2016,22,25,88.0%,1-52,Pio Duran_Dry_2015-2016,0,Pioduran_2015_Dry,Pioduran_2016_Dry,Rice,2016,0,1013,0,0.0,,2016
Pioduran,Dry,2015,2016,2015-2016,22,25,88.0%,1-52,Pio Duran_Dry_2015-2016,0,Pioduran_2015_Dry,Pioduran_2016_Dry,Corn,2016,0,1013,0,0.0,,2016
Pioduran,Wet,0,0,,23,27,85.2%,18-44,Pio Duran_Wet_2016,2016,,,Corn,2016,0,1013,0,0.0,Pioduran_2016_Wet,2016
Polangui,Dry,2015,2016,2015-2016,22,25,88.0%,1-52,Polangui_Dry_2015-2016,0,Polangui_2015_Dry,Polangui_2016_Dry,Rice,2016,110,924,0,55.0,,2016
